id,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,NS,CS2,SSP,CAS,Minimum
GRIDGEN_0,3911,124653,1,19996,649644013,0.260633104615837,0.1697435613590337,1,211201,452317280,0.0171808432008905,0.1206706059189335,211201.0,292,2,808975,0.0103470182527554,0.0178031890193651,2165144,0.0026218875315088,0.0160117962905079,93500.0,210500.0,3405500.0,867500.0,NS
GRIDGRAPH_1,1510,2984,4,9998,15001560,0.5028338107299745,0.2886820271605129,1,1000,1488303,0.4987610589812332,0.2869953763692432,900.0,1,59,4179450,0.3311036352120391,0.2148929188290794,755494,0.5006587143803843,0.2861433175343894,1575.5395683453237,5300.0,7659.574468085107,5645.833333333333,NS
GOTO_0,2276,41868,0,9999,102747540,0.2454328264583408,0.3177926622345375,1,30123,80149981,0.0635510874634723,0.2246432790231324,30123.0,1,2,1001,0.0628571428571428,0.1006175147724605,1024066,0.4510409830650311,0.3105085117498978,78000.0,265500.0,23211500.0,1742500.0,NS
NETGEN_1,2870,100777,1,10000,517421175,0.5134318098375621,0.296348602479083,1,58439,216803566,0.0368130855138392,0.1649810281582906,58439.0,1,3,535393,0.1046037587509593,0.0949473182903262,1432827,0.4994168699895434,0.289254186594943,276000.0,135666.66666666666,4140666.6666666665,37005333.333333336,CS2
GRIDGEN_1,1225,14642,2,19996,83849359,0.2863889230516503,0.2118800767800745,1,80000,61415620,0.052431037426581,0.2093093240807885,80000.0,448,2,773809,0.0316161680048428,0.0372149102432348,683772,0.0069829656862745,0.0286187785897191,0.0,16000.0,213333.33333333334,109333.33333333333,NS
GOTO_1,3559,93693,0,9999,277214262,0.2959046953332905,0.3276950029685048,1,77671,297728511,0.0409123460148447,0.1904770351258491,77671.0,1,3,6084,0.0003419898819561,0.0167617221884499,1611406,0.453349921028392,0.3103063043647032,234500.0,797000.0,60000000.0,8265500.0,NS
GRIDGEN_2,2199,26330,1,19994,151700397,0.2881616421880609,0.2164352183330409,1,143623,204870959,0.0541758267048469,0.2189405525119488,143623.0,690,1,1363523,0.0310266646873042,0.0329349777141022,1247449,0.0039515830790368,0.0213449592072474,16000.0,31333.333333333332,640666.6666666666,172000.0,NS
GOTO_3,3369,97647,0,9999,263490421,0.2698667369988507,0.3255892681155745,1,82240,302219618,0.0376340229670289,0.1818464112410362,82240.0,1,3,5782,0.000343349168646,0.017228060086419,1538945,0.4573888021037665,0.3057211644215534,281000.0,1531000.0,60000000.0,10906000.0,NS
GOTO_2,1267,39807,0,9999,141365140,0.3551618507493475,0.3298060902032947,1,120828,159959175,0.0332569272072939,0.1747263043247172,120828.0,1,3,6203,0.0009799368088467,0.0280994579000593,580216,0.4587652423355425,0.3091845269579113,78000.0,266000.0,38445000.0,2938000.0,NS
GRIDGEN_3,3401,162162,1,20000,829059619,0.2556269714853048,0.1575429551770628,1,130913,238463763,0.0112328646431447,0.0856520736373139,130913.0,1079,2,469611,0.006906044117647,0.0178422429041585,1824747,0.0040995951060448,0.0172226086810455,62000.0,234000.0,3898500.0,2976500.0,NS
GRIDGEN_4,375,50082,1,19992,254781395,0.2544660240598775,0.1546243591957079,1,27110,32436579,0.0238904242781417,0.0740870292820104,27110.0,124,1,42551,0.0056909127287278,0.0515425627724799,212264,0.0209351088948372,0.0518151362483699,5333.333333333333,39000.0,88333.33333333333,47000.0,NS
GRIDGRAPH_5,4745,9364,2,10000,46913766,0.5010013455788125,0.2917032215380663,1,1000,4645880,0.4961426740709099,0.2890877784235395,658.0,1,154,12827964,0.3030755020180519,0.1982595367433032,2344025,0.4941030775716695,0.2904307714569485,16000.0,31333.333333333332,47000.0,15500.0,CAS
NETGEN_5,2933,164965,1,10000,839477702,0.5088823095808201,0.2934625916998776,1,38019,192654891,0.0307176182019715,0.1306254464183997,38019.0,1,2,337612,0.087497978495337,0.0755450869893074,1470282,0.5014604365620736,0.2846360726690753,312500.0,172000.0,3203500.0,60000000.0,CS2
GRIDGEN_5,3971,122653,1,20000,650816603,0.2653080654366383,0.1784261957395972,1,229892,643038416,0.0228052525106959,0.14196543905332,229892.0,1076,2,865446,0.0108998236775818,0.0178374948602886,2224328,0.0024371623674698,0.015884743909014,70500.0,219000.0,3484500.0,836000.0,NS
NETGEN_6,1227,13894,2,10000,75528648,0.5436062185115877,0.3087622381975696,1,8313,16602535,0.143743868766579,0.2685402274141976,8313.0,1,3,765023,0.1137231974374548,0.1009781875622459,608997,0.4967349102773246,0.2826574643017257,18000.0,9785.714285714286,57333.333333333336,984500.0,CS2
GOTO_4,2058,97753,0,9999,346662983,0.3546670207208746,0.3328061831333209,1,275287,584997836,0.0217389449098527,0.1434283117072227,275287.0,1,3,411,0.0666018473505104,0.1441863763801078,885125,0.4307297088045751,0.318439722832068,328500.0,578000.0,60000000.0,18820500.0,NS
GOTO_5,1998,82533,0,9999,320021563,0.3877886037788953,0.3269341475907376,1,235695,482338281,0.0247955490927022,0.1532127269925711,235695.0,1,3,5910,0.0005918878317476,0.0223703071112538,900817,0.4515366643558932,0.3082755766850563,242000.0,469000.0,60000000.0,11539000.0,NS
GRIDGEN_6,4651,20815,1,20000,142017457,0.3411421018496277,0.278489897664535,1,98713,256017829,0.1246004022769926,0.3235095748350238,98713.0,1243,2,12659519,0.1361238602150537,0.0885920313538402,2422971,0.0052786262423192,0.0148758117147042,16000.0,78000.0,157000.0,304500.0,NS
NETGEN_7,2909,146015,1,10000,744900810,0.510153621203301,0.2945830211562513,1,104706,376186782,0.0246056300526991,0.1390934179737235,104706.0,1,3,384458,0.1262722207551805,0.1130754325237241,1457895,0.501339408528198,0.2896640372426773,422000.0,242000.0,11390500.0,60000000.0,CS2
GOTO_6,773,35989,0,9999,147157916,0.408937823399723,0.3220383516173132,1,361386,281884797,0.0216735748534609,0.1440818847168138,361386.0,1,2,5538,0.0014347150259067,0.0359631437277676,337212,0.4372403491574476,0.3202945650505361,125000.0,167000.0,51468666.666666664,2401000.0,NS
GOTO_8,426,6762,0,9997,18210680,0.2693898971229375,0.3171650375277501,1,18385,9537501,0.0767177391584272,0.239050823116762,18385.0,1,3,5468,0.0025731764705882,0.0484503650010354,181085,0.4273644462800165,0.3196034478044869,0.0,16000.0,867500.0,101000.0,NS
GOTO_7,2725,74236,0,9999,210475587,0.2835506178453397,0.3269815721090172,1,78686,231865218,0.0396938819331617,0.1872815049536379,78686.0,1,3,5619,0.0004125550660792,0.0191558774199237,1225947,0.4505044692269362,0.3128914401981146,164500.0,523000.0,60000000.0,6789000.0,NS
GRIDGRAPH_12,3962,7762,1,10000,38574064,0.4969603710383922,0.2877544005190077,1,1000,3893865,0.5016574336511209,0.288562356723133,55.0,1,181,10769013,0.2966460634393189,0.1905342545573886,1999375,0.5047652108053522,0.2882846576544474,13000.0,16000.0,0.0,5818.181818181818,SSP
GRIDGEN_7,4293,141153,1,19998,742859048,0.2631659763994153,0.1735973695946099,1,52815,200524562,0.0268980117767861,0.1302990986161776,52815.0,635,2,907989,0.0105787489280148,0.0172179389423472,2208079,0.0097408669184908,0.016068249184074,63000.0,250000.0,2711000.0,781000.0,NS
GRIDGEN_8,659,143372,1,20000,724895908,0.2528024677063862,0.1508673138783519,1,5853,74382054,0.0886390921235704,0.0727215654948797,5853.0,142,2,41920,0.0031854103343465,0.0389108849551474,338470,0.0878852037014245,0.0611619725855057,15500.0,125000.0,289000.0,125000.0,NS
GRIDGEN_9,1444,128894,1,19996,661732243,0.2567476437705341,0.1607941464200391,1,1000,64208909,0.4981528154917994,0.2872168684602056,331.0,265,1,124008,0.0042977410450905,0.0263889699941849,727988,0.5044961884961885,0.2891533711076087,16000.0,94000.0,117500.0,78000.0,NS
NETGEN_8,1473,80000,1,10000,407186011,0.50898251375,0.2937573874247353,1,76368,151699579,0.0248303574468363,0.133610934339952,76368.0,1,2,184103,0.0868541477958937,0.0816049383830423,728714,0.4955458175566871,0.2934302489593045,130000.0,93666.66666666667,3057666.6666666665,47125333.333333336,CS2
GOTO_9,596,22568,0,9999,88721730,0.3931699887464818,0.3251330911629378,1,233449,142457687,0.027039633300996,0.1598334743750422,233449.0,1,2,6001,0.0020171428571428,0.0409614835509393,278319,0.4687004260622084,0.310460151008792,62500.0,188000.0,20086000.0,812500.0,NS
NETGEN_11,982,120260,1,10000,605781011,0.5037261026110095,0.2916197625963151,1,26070,85037391,0.0271236228294774,0.0889581811290775,26070.0,1,2,53058,0.1567699330762753,0.1406225788185722,483665,0.4955101706288834,0.2930414553079467,62000.0,78000.0,758000.0,60000000.0,NS
GRIDGRAPH_13,2669,5228,1,9990,26317664,0.5039022189749045,0.2886923583430221,1,1000,2596839,0.4967174827850038,0.2880696823251596,668.0,1,128,7366742,0.3078202537527223,0.1951091447515353,1316145,0.4933077211394303,0.289033252887478,4216.981132075472,56200.0,17300.0,7819.81981981982,NS
GOTO_10,3678,109620,0,9999,439544867,0.4010115178640652,0.3259025235090843,1,163129,614779330,0.0343793994199924,0.1795456398890612,163129.0,1,3,7924,0.0004310035354908,0.016493285120466,1734272,0.4721261920065292,0.302036967734543,304500.0,937000.0,60000000.0,9906500.0,NS
GRIDGRAPH_14,4144,8213,1,9996,41639659,0.5071998237989949,0.2868378190461163,1,1000,4081350,0.4969377815658103,0.2906409148526494,870.0,1,110,11562299,0.3097795009453228,0.1943497191015276,2076712,0.5012580255853246,0.2899701463533176,10863.636363636364,21904.761904761905,47000.0,30000.0,NS
GRIDGEN_11,3529,161323,1,19998,857090134,0.2656706891097855,0.1794797401753589,1,319160,1185759991,0.0230298997025408,0.1448104544599608,319160.0,1338,1,505802,0.0071691126028702,0.0176484170114568,2032586,0.0018051441865963,0.0168320645700633,86000.0,265500.0,4523000.0,1070500.0,NS
GRIDGRAPH_15,1058,2111,6,9999,10509819,0.4979095256754477,0.2902130976489073,1,1000,1070565,0.5071364282330649,0.2890832622282959,837.0,1,34,2802163,0.301873488969762,0.1946493390806386,537992,0.5089801324503311,0.290845657331564,869.2660550458716,5740.740740740741,4109.925293489861,3363.28125,NS
GRIDGRAPH_16,2774,5525,2,9998,27513841,0.4980876899361773,0.2884231219958047,1,1000,2784619,0.5040034389140271,0.2860935982445249,413.0,1,64,7438665,0.2965108165551768,0.189587913354063,1387953,0.5005239812477461,0.2871986434865251,2406.25,6680.851063829788,6473.958333333333,12600.0,NS
GOTO_11,2940,57312,0,9999,132209381,0.2307066639801892,0.3140004176008137,1,37654,127355074,0.059014613895893,0.2189178146770882,37654.0,1,3,861,0.0732391970057842,0.1309825756699234,1302057,0.4434706908337395,0.31742467859653,149000.0,429500.0,41882500.0,4313000.0,NS
GOTO_12,441,13829,0,9999,51539053,0.3727254857237839,0.3324114497043013,1,139697,64135129,0.0331984736074966,0.1752725872943373,139697.0,1,2,252,0.1431818181818182,0.1913145045975905,177550,0.4047369380869882,0.3065603709787538,23000.0,47000.0,7281500.0,742000.0,NS
NETGEN_12,4193,68094,1,10000,361727507,0.5312178855699474,0.3048285323134332,1,113344,507344859,0.0657348812008998,0.239332567260825,113344.0,1,5,1721429,0.04185569574111,0.0400030429914313,2125126,0.5069479961832061,0.2892712368014511,468500.0,218500.0,11296500.0,52742000.0,CS2
GRIDGEN_12,691,83636,1,19990,424080716,0.2536544445162463,0.153636910268293,1,33813,55852371,0.0197498888455548,0.0699915176709268,33813.0,238,2,58151,0.0042159485539871,0.0380039183080491,383000,0.0164159484153466,0.0384455657547442,15666.666666666666,57666.666666666664,255333.33333333334,117500.0,NS
GRIDGEN_13,2203,65672,1,20000,336999011,0.2565773929528566,0.1600343825576405,1,37715,54429373,0.0219755107061738,0.0924737193849037,37715.0,47,2,506194,0.0114939600363306,0.0228856769543466,1159064,0.0139564829822791,0.0223184153138609,15500.0,73000.0,500000.0,338666.6666666667,NS
GOTO_13,1872,102587,0,9999,392175820,0.38232431156399,0.3277688814421164,1,429360,820794860,0.0186346275150472,0.1337588473870704,429360.0,1,3,503,0.0896133974701585,0.1630688425992536,797002,0.4264028860501335,0.3212625533122007,383000.0,907000.0,60000000.0,15648500.0,NS
